                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.60128,                0.54991,                0.91941,                0.94376,                0.92251,                0.96404,                0.86869,                0.46897,                0.47421,                0.85279,               0.000835,               0.000835,               0.000835
                     53,                0.59124,                0.53687,                0.92517,                0.96079,                0.89026,                0.95384,                0.85824,                0.49331,                0.49527,                0.86431,              0.0008317,              0.0008317,              0.0008317
                     54,                0.59635,                0.54243,                0.92484,                0.95493,                0.87018,                0.95427,                0.85131,                0.51287,                0.54639,                0.87028,              0.0008284,              0.0008284,              0.0008284
                     55,                0.60069,                0.53165,                0.92633,                 0.9367,                0.90876,                   0.95,                0.84606,                0.50633,                0.51643,                 0.8658,              0.0008251,              0.0008251,              0.0008251
                     56,                0.59871,                0.52383,                0.91898,                0.96126,                0.90929,                0.96523,                0.86415,                0.49164,                0.48522,                0.85907,              0.0008218,              0.0008218,              0.0008218
                     57,                0.61187,                0.53843,                0.93028,                0.94753,                 0.9235,                0.95673,                0.84276,                0.51316,                 0.5123,                0.86839,              0.0008185,              0.0008185,              0.0008185
                     58,                0.59958,                0.53552,                 0.9286,                0.94861,                0.86705,                0.94664,                0.83432,                0.50213,                0.53521,                 0.8657,              0.0008152,              0.0008152,              0.0008152
                     59,                0.59391,                0.52865,                0.92247,                0.96488,                0.87469,                0.94797,                0.83431,                 0.5083,                0.51102,                 0.8718,              0.0008119,              0.0008119,              0.0008119
                     60,                0.60051,                0.52508,                0.92236,                0.93152,                0.91362,                0.95681,                0.86048,                0.48196,                0.48903,                0.86068,              0.0008086,              0.0008086,              0.0008086
                     61,                 0.5803,                0.50034,                0.91593,                0.93565,                0.91981,                0.95912,                0.85535,                0.48105,                 0.5165,                0.86245,              0.0008053,              0.0008053,              0.0008053
