                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.81543,                0.76793,                 1.0509,                0.88253,                0.79693,                0.89326,                0.73278,                0.73432,                0.88455,                 1.0407,              0.0091486,              0.0091486,              0.0091486
                     46,                0.80886,                 0.7658,                 1.0543,                0.88705,                0.83332,                0.90551,                0.75818,                0.66646,                0.70742,                0.98437,              0.0091288,              0.0091288,              0.0091288
                     47,                0.77324,                0.73612,                 1.0262,                0.90773,                0.74132,                0.87562,                0.72066,                 0.7554,                0.89724,                 1.0563,               0.009109,               0.009109,               0.009109
                     48,                0.78415,                 0.7405,                 1.0341,                0.90694,                0.83537,                0.91805,                0.79053,                0.63041,                 0.6774,                0.96447,              0.0090892,              0.0090892,              0.0090892
                     49,                0.76053,                0.72677,                 1.0155,                0.91024,                0.73601,                0.86756,                0.73616,                0.64014,                0.79792,                0.96656,              0.0090694,              0.0090694,              0.0090694
                     50,                  0.778,                0.74006,                 1.0345,                0.90278,                0.74658,                0.87038,                0.71977,                0.70969,                0.86349,                 1.0216,              0.0090496,              0.0090496,              0.0090496
                     51,                0.76933,                0.74912,                 1.0311,                0.89411,                0.88025,                0.91943,                0.78201,                0.66571,                0.65485,                0.96744,              0.0090298,              0.0090298,              0.0090298
                     52,                0.78083,                0.74121,                 1.0272,                0.89697,                0.85483,                0.92781,                0.79989,                0.61069,                0.61738,                 0.9496,                0.00901,                0.00901,                0.00901
                     53,                0.75341,                0.71794,                 1.0274,                0.94542,                0.85336,                0.93221,                0.79229,                0.65073,                0.60625,                0.97793,              0.0089902,              0.0089902,              0.0089902
                     54,                0.76901,                0.73508,                 1.0312,                0.91422,                0.80236,                0.90301,                0.75186,                0.67756,                0.71633,                0.98789,              0.0089704,              0.0089704,              0.0089704
                     55,                0.77635,                0.71584,                 1.0315,                0.90899,                0.82421,                0.91581,                0.75121,                0.68373,                0.73552,                 0.9943,              0.0089506,              0.0089506,              0.0089506
                     56,                0.76132,                0.71963,                  1.021,                0.90381,                0.78682,                0.90231,                0.75794,                0.66929,                0.75498,                0.98841,              0.0089308,              0.0089308,              0.0089308
                     57,                0.78089,                0.72846,                  1.038,                0.92247,                 0.8154,                 0.9048,                0.77349,                0.61757,                0.66813,                0.96083,               0.008911,               0.008911,               0.008911
                     58,                0.75657,                0.70066,                 1.0223,                0.78059,                0.77417,                0.84725,                0.69292,                0.71398,                0.92283,                 1.0131,              0.0088912,              0.0088912,              0.0088912
                     59,                0.75667,                0.69963,                 1.0187,                0.89145,                0.83706,                0.90026,                0.74051,                0.64587,                 0.7297,                0.97062,              0.0088714,              0.0088714,              0.0088714
                     60,                0.77134,                0.71703,                 1.0263,                0.95077,                0.86179,                0.92939,                0.79913,                0.61357,                0.64919,                0.95626,              0.0088516,              0.0088516,              0.0088516
                     61,                0.74982,                0.68697,                 1.0241,                0.91833,                0.78694,                0.89529,                0.75908,                0.64732,                0.71888,                0.97974,              0.0088318,              0.0088318,              0.0088318
